Input,PalletType,DecimalBoxNumber,NetBoxNumber,NumberPallet,TotalPalletWeight,NetProductWeight,TotalWeight,Input.1,UnitCost,UnitSelling,TransportCost,TransportSelling,SubTotalSelling,TotalSelling,CostPerKg,SellingPerKg,ProfitPerKg
504,STANDARD,33.6,33,0.7000000000000001,40.6,495,535.6,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
505,EURO,33.666666666666664,33,0.9351851851851851,44.888888888888886,495,539.8888888888889,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
505,STANDARD,33.666666666666664,33,0.7013888888888888,40.68055555555555,495,535.6805555555555,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
506,EURO,33.733333333333334,33,0.9370370370370371,44.97777777777778,495,539.9777777777778,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
506,STANDARD,33.733333333333334,33,0.7027777777777778,40.76111111111111,495,535.7611111111111,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
507,EURO,33.8,33,0.9388888888888888,45.06666666666666,495,540.0666666666666,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
507,STANDARD,33.8,33,0.7041666666666666,40.84166666666666,495,535.8416666666667,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
508,EURO,33.86666666666667,33,0.9407407407407408,45.15555555555556,495,540.1555555555556,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
508,STANDARD,33.86666666666667,33,0.7055555555555556,40.922222222222224,495,535.9222222222222,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
509,EURO,33.93333333333333,33,0.9425925925925925,45.24444444444444,495,540.2444444444444,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
509,STANDARD,33.93333333333333,33,0.7069444444444444,41.00277777777777,495,536.0027777777777,495,4950,5197.5,4e3,5600,10797.5,11499.3375,18.08080808080808,23.230984848484848,5.1501767676767685
510,EURO,34,34,0.9444444444444444,45.33333333333333,510,555.3333333333334,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
510,STANDARD,34,34,0.7083333333333334,41.083333333333336,510,551.0833333333334,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
511,EURO,34.06666666666667,34,0.9462962962962964,45.42222222222223,510,555.4222222222222,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
511,STANDARD,34.06666666666667,34,0.7097222222222223,41.16388888888889,510,551.1638888888889,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
512,EURO,34.13333333333333,34,0.9481481481481482,45.51111111111111,510,555.5111111111111,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
512,STANDARD,34.13333333333333,34,0.7111111111111111,41.24444444444445,510,551.2444444444444,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
513,EURO,34.2,34,0.9500000000000001,45.6,510,555.6,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
513,STANDARD,34.2,34,0.7125,41.325,510,551.325,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
514,EURO,34.266666666666666,34,0.9518518518518518,45.68888888888889,510,555.6888888888889,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
514,STANDARD,34.266666666666666,34,0.7138888888888889,41.40555555555556,510,551.4055555555556,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
515,EURO,34.333333333333336,34,0.9537037037037037,45.77777777777778,510,555.7777777777778,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
515,STANDARD,34.333333333333336,34,0.7152777777777778,41.486111111111114,510,551.4861111111111,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
516,EURO,34.4,34,0.9555555555555555,45.86666666666666,510,555.8666666666667,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
516,STANDARD,34.4,34,0.7166666666666667,41.56666666666667,510,551.5666666666667,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
517,EURO,34.46666666666667,34,0.9574074074074075,45.95555555555556,510,555.9555555555555,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
517,STANDARD,34.46666666666667,34,0.7180555555555556,41.647222222222226,510,551.6472222222222,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
518,EURO,34.53333333333333,34,0.9592592592592593,46.044444444444444,510,556.0444444444445,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
518,STANDARD,34.53333333333333,34,0.7194444444444444,41.727777777777774,510,551.7277777777778,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
519,EURO,34.6,34,0.9611111111111111,46.13333333333333,510,556.1333333333333,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
519,STANDARD,34.6,34,0.7208333333333333,41.80833333333333,510,551.8083333333333,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
520,EURO,34.666666666666664,34,0.9629629629629629,46.22222222222222,510,556.2222222222222,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
520,STANDARD,34.666666666666664,34,0.7222222222222222,41.888888888888886,510,551.8888888888889,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
521,EURO,34.733333333333334,34,0.9648148148148148,46.31111111111111,510,556.3111111111111,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
521,STANDARD,34.733333333333334,34,0.7236111111111111,41.96944444444444,510,551.9694444444444,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
522,EURO,34.8,34,0.9666666666666666,46.39999999999999,510,556.4,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
522,STANDARD,34.8,34,0.725,42.05,510,552.05,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
523,EURO,34.86666666666667,34,0.9685185185185186,46.488888888888894,510,556.4888888888889,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
523,STANDARD,34.86666666666667,34,0.7263888888888889,42.13055555555555,510,552.1305555555556,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
524,EURO,34.93333333333333,34,0.9703703703703703,46.577777777777776,510,556.5777777777778,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
524,STANDARD,34.93333333333333,34,0.7277777777777777,42.21111111111111,510,552.2111111111111,510,5100,5355,4e3,5600,10955,11667.075,17.84313725490196,22.876617647058826,5.033480392156864
525,EURO,35,35,0.9722222222222222,46.666666666666664,525,571.6666666666666,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
525,STANDARD,35,35,0.7291666666666666,42.291666666666664,525,567.2916666666666,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
526,EURO,35.06666666666667,35,0.9740740740740742,46.75555555555556,525,571.7555555555556,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
526,STANDARD,35.06666666666667,35,0.7305555555555556,42.37222222222223,525,567.3722222222223,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
527,EURO,35.13333333333333,35,0.9759259259259259,46.84444444444444,525,571.8444444444444,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
527,STANDARD,35.13333333333333,35,0.7319444444444444,42.452777777777776,525,567.4527777777778,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
528,EURO,35.2,35,0.9777777777777779,46.93333333333334,525,571.9333333333334,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
528,STANDARD,35.2,35,0.7333333333333334,42.53333333333334,525,567.5333333333333,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
529,EURO,35.266666666666666,35,0.9796296296296296,47.022222222222226,525,572.0222222222222,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
529,STANDARD,35.266666666666666,35,0.7347222222222222,42.61388888888889,525,567.6138888888889,525,5250,5512.5,4e3,5600,11112.5,11834.8125,17.61904761904762,22.5425,4.92345238095238
